query,target
Can I start an SIP with Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
Has Tata BSE Select Business Groups Index Fund been outperforming the market?,Tata BSE Select Business Groups Index Fund
Tell me about the volatility of Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative.,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Is Union Overnight Fund better than other similar funds?,Union Overnight Fund
Is Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative a good investment for SIP?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Can you provide details about the dividend option in Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
Tell me the expense ratio of Tata BSE Select Business Groups Index Fund.,Tata BSE Select Business Groups Index Fund
What's the growth option NAV of HSBC Medium Duration Fund?,HSBC Medium Duration Fund
What's the dividend frequency for Canara Robeco ELSS Tax Saver?,Canara Robeco ELSS Tax Saver
Is Motilal Oswal Nifty Microcap 250 Index Fund a good investment for SIP?,Motilal Oswal Nifty Microcap 250 Index Fund
What's the performance of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
Can you provide details about the dividend option in Union Overnight Fund?,Union Overnight Fund
What is the NAV of ICICI Prudential Gilt Fund?,ICICI Prudential Gilt Fund
What's the Sharpe Ratio of Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
Explain the investment objective of HSBC Medium Duration Fund.,HSBC Medium Duration Fund
Is Aditya Birla Sun Life Pharma & Healthcare Fund better than other similar funds?,Aditya Birla Sun Life Pharma & Healthcare Fund
Does DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days offer a switch option?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
Has HSBC Medium Duration Fund been outperforming the market?,HSBC Medium Duration Fund
Tell me the expense ratio of Kotak Bluechip Fund.,Kotak Bluechip Fund
Tell me about the volatility of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days.,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
How has Union Overnight Fund performed over the last year?,Union Overnight Fund
Does Union Overnight Fund offer a switch option?,Union Overnight Fund
Is Union Overnight Fund better than other similar funds?,Union Overnight Fund
What's the growth option NAV of UTI Money Market Fund?,UTI Money Market Fund
Is it beneficial to hold Groww Nifty EV & New Age Automotive ETF FOF long-term?,Groww Nifty EV & New Age Automotive ETF FOF
Is it beneficial to hold Canara Robeco ELSS Tax Saver long-term?,Canara Robeco ELSS Tax Saver
Is Kotak Bluechip Fund better than other similar funds?,Kotak Bluechip Fund
Is Bandhan Credit Risk Fund better than other similar funds?,Bandhan Credit Risk Fund
How has DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days performed over the last year?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
Can you provide details about the dividend option in UTI Money Market Fund?,UTI Money Market Fund
Give me the benchmark for Kotak Bluechip Fund.,Kotak Bluechip Fund
What's the growth option NAV of HSBC Medium Duration Fund?,HSBC Medium Duration Fund
What was the last month's return of Canara Robeco ELSS Tax Saver?,Canara Robeco ELSS Tax Saver
Has Aditya Birla Sun Life Pharma & Healthcare Fund been outperforming the market?,Aditya Birla Sun Life Pharma & Healthcare Fund
Can you provide details about the dividend option in Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
How has ICICI Prudential Gilt Fund performed over the last year?,ICICI Prudential Gilt Fund
Tell me the expense ratio of Aditya Birla Sun Life Pharma & Healthcare Fund.,Aditya Birla Sun Life Pharma & Healthcare Fund
Tell me the expense ratio of ICICI Prudential Gilt Fund.,ICICI Prudential Gilt Fund
How has UTI Money Market Fund performed over the last year?,UTI Money Market Fund
What's the Sharpe Ratio of Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
How is Union Overnight Fund rated by AMFI?,Union Overnight Fund
Does Motilal Oswal Nifty Microcap 250 Index Fund offer a switch option?,Motilal Oswal Nifty Microcap 250 Index Fund
What's the performance of Kotak Focused Equity Fund?,Kotak Focused Equity Fund
Does Kotak Bluechip Fund have any lock-in period?,Kotak Bluechip Fund
What's the performance of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
What was the last month's return of SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
Give me the benchmark for Tata BSE Select Business Groups Index Fund.,Tata BSE Select Business Groups Index Fund
Should I consider investing in ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
Is Kotak Focused Equity Fund a good investment for SIP?,Kotak Focused Equity Fund
What was the return of Tata BSE Select Business Groups Index Fund in the past 6 months?,Tata BSE Select Business Groups Index Fund
Can you provide details about the dividend option in Union Overnight Fund?,Union Overnight Fund
What are the recent returns for Canara Robeco ELSS Tax Saver?,Canara Robeco ELSS Tax Saver
Has Motilal Oswal Nifty Microcap 250 Index Fund been outperforming the market?,Motilal Oswal Nifty Microcap 250 Index Fund
What was the return of Tata BSE Select Business Groups Index Fund in the past 6 months?,Tata BSE Select Business Groups Index Fund
Tell me about the volatility of Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative.,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Can I start an SIP with Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
What's the dividend frequency for Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
Give me the benchmark for Motilal Oswal Nifty Microcap 250 Index Fund.,Motilal Oswal Nifty Microcap 250 Index Fund
What's the Sharpe Ratio of Kotak Focused Equity Fund?,Kotak Focused Equity Fund
Tell me about the volatility of Kotak Bluechip Fund.,Kotak Bluechip Fund
How is Kotak Focused Equity Fund rated by AMFI?,Kotak Focused Equity Fund
What is the minimum investment required for Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
Tell me about the portfolio holdings of ICICI Prudential Transportation and Logistics Fund.,ICICI Prudential Transportation and Logistics Fund
Give me the benchmark for ICICI Prudential Transportation and Logistics Fund.,ICICI Prudential Transportation and Logistics Fund
Does Tata BSE Select Business Groups Index Fund have any lock-in period?,Tata BSE Select Business Groups Index Fund
Tell me the expense ratio of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days.,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
What was the last month's return of Kotak Bluechip Fund?,Kotak Bluechip Fund
Give me the benchmark for HSBC Medium Duration Fund.,HSBC Medium Duration Fund
Does SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days) offer a switch option?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
How has Groww Nifty EV & New Age Automotive ETF FOF performed over the last year?,Groww Nifty EV & New Age Automotive ETF FOF
Does SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days) have any lock-in period?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
What is the NAV of Union Overnight Fund?,Union Overnight Fund
Is it beneficial to hold Tata BSE Select Business Groups Index Fund long-term?,Tata BSE Select Business Groups Index Fund
What are the redemption terms for ICICI Prudential Gilt Fund?,ICICI Prudential Gilt Fund
Should I consider investing in ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
Is Groww Nifty EV & New Age Automotive ETF FOF a good investment for SIP?,Groww Nifty EV & New Age Automotive ETF FOF
Tell me the expense ratio of Motilal Oswal Nifty Microcap 250 Index Fund.,Motilal Oswal Nifty Microcap 250 Index Fund
Can you provide the recent NAV for ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
What's the asset allocation of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
Is it beneficial to hold UTI Money Market Fund long-term?,UTI Money Market Fund
How has Canara Robeco ELSS Tax Saver performed over the last year?,Canara Robeco ELSS Tax Saver
What's the dividend frequency for DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
What are the recent returns for Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
Does Motilal Oswal Nifty Microcap 250 Index Fund offer a switch option?,Motilal Oswal Nifty Microcap 250 Index Fund
What was the last month's return of Canara Robeco ELSS Tax Saver?,Canara Robeco ELSS Tax Saver
Should I consider investing in Aditya Birla Sun Life Pharma & Healthcare Fund?,Aditya Birla Sun Life Pharma & Healthcare Fund
What was the return of Bandhan Credit Risk Fund in the past 6 months?,Bandhan Credit Risk Fund
Tell me the expense ratio of Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative.,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Explain the investment objective of Aditya Birla Sun Life Pharma & Healthcare Fund.,Aditya Birla Sun Life Pharma & Healthcare Fund
What was the last month's return of Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
Is it beneficial to hold HSBC Medium Duration Fund long-term?,HSBC Medium Duration Fund
Is Groww Nifty EV & New Age Automotive ETF FOF a good investment for SIP?,Groww Nifty EV & New Age Automotive ETF FOF
What's the performance of Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
Tell me about the portfolio holdings of Canara Robeco ELSS Tax Saver.,Canara Robeco ELSS Tax Saver
Is it beneficial to hold DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days long-term?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
What's the risk associated with Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
Can you provide details about the dividend option in ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
What's the performance of Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
What's the risk associated with Aditya Birla Sun Life Pharma & Healthcare Fund?,Aditya Birla Sun Life Pharma & Healthcare Fund
Tell me about the portfolio holdings of Union Overnight Fund.,Union Overnight Fund
Tell me the expense ratio of Bandhan Credit Risk Fund.,Bandhan Credit Risk Fund
What's the dividend frequency for ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
Can you provide the recent NAV for Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
Is it beneficial to hold ICICI Prudential Gilt Fund long-term?,ICICI Prudential Gilt Fund
What's the risk associated with UTI Money Market Fund?,UTI Money Market Fund
What's the asset allocation of SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
What is the NAV of Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
Tell me the expense ratio of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days.,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
What is the NAV of Union Overnight Fund?,Union Overnight Fund
What's the dividend frequency for Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
Has Groww Nifty EV & New Age Automotive ETF FOF been outperforming the market?,Groww Nifty EV & New Age Automotive ETF FOF
Is Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative a good investment for SIP?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Should I consider investing in Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
What are the recent returns for DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
How has Bandhan Credit Risk Fund performed over the last year?,Bandhan Credit Risk Fund
Tell me the expense ratio of Union Overnight Fund.,Union Overnight Fund
Can you provide the recent NAV for Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Tell me about the volatility of Kotak Focused Equity Fund.,Kotak Focused Equity Fund
Can I start an SIP with Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
Can you provide the recent NAV for Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
Does Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative have any lock-in period?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Is it beneficial to hold UTI Money Market Fund long-term?,UTI Money Market Fund
Can you provide the recent NAV for HSBC Medium Duration Fund?,HSBC Medium Duration Fund
What's the growth option NAV of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
Tell me about the portfolio holdings of Motilal Oswal Nifty Microcap 250 Index Fund.,Motilal Oswal Nifty Microcap 250 Index Fund
How risky is investing in HSBC Medium Duration Fund?,HSBC Medium Duration Fund
Does HSBC Medium Duration Fund have any lock-in period?,HSBC Medium Duration Fund
Can you provide details about the dividend option in ICICI Prudential Gilt Fund?,ICICI Prudential Gilt Fund
Give me the benchmark for Aditya Birla Sun Life Pharma & Healthcare Fund.,Aditya Birla Sun Life Pharma & Healthcare Fund
Give me the benchmark for Bandhan Credit Risk Fund.,Bandhan Credit Risk Fund
Can I start an SIP with UTI Money Market Fund?,UTI Money Market Fund
Does ICICI Prudential Transportation and Logistics Fund have any lock-in period?,ICICI Prudential Transportation and Logistics Fund
What's the Sharpe Ratio of Kotak Focused Equity Fund?,Kotak Focused Equity Fund
What's the performance of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
What's the dividend frequency for ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
Can you provide the recent NAV for UTI Money Market Fund?,UTI Money Market Fund
What's the growth option NAV of ICICI Prudential Gilt Fund?,ICICI Prudential Gilt Fund
Should I consider investing in Aditya Birla Sun Life Pharma & Healthcare Fund?,Aditya Birla Sun Life Pharma & Healthcare Fund
Does Canara Robeco ELSS Tax Saver offer a switch option?,Canara Robeco ELSS Tax Saver
What is the minimum investment required for SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
What are the recent returns for Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
What's the risk associated with Kotak Focused Equity Fund?,Kotak Focused Equity Fund
What is the NAV of Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
Tell me the expense ratio of ICICI Prudential Transportation and Logistics Fund.,ICICI Prudential Transportation and Logistics Fund
What's the growth option NAV of UTI Money Market Fund?,UTI Money Market Fund
What was the return of Canara Robeco ELSS Tax Saver in the past 6 months?,Canara Robeco ELSS Tax Saver
How has DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days performed over the last year?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
What are the recent returns for Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
Has Canara Robeco ELSS Tax Saver been outperforming the market?,Canara Robeco ELSS Tax Saver
Tell me the expense ratio of UTI Money Market Fund.,UTI Money Market Fund
Tell me the expense ratio of SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days).,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
Is ICICI Prudential Transportation and Logistics Fund better than other similar funds?,ICICI Prudential Transportation and Logistics Fund
What's the asset allocation of ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
Tell me about the volatility of Aditya Birla Sun Life Pharma & Healthcare Fund.,Aditya Birla Sun Life Pharma & Healthcare Fund
Can I start an SIP with Kotak Bluechip Fund?,Kotak Bluechip Fund
What's the asset allocation of Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Does Groww Nifty EV & New Age Automotive ETF FOF have any lock-in period?,Groww Nifty EV & New Age Automotive ETF FOF
Tell me about the portfolio holdings of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days.,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
How has ICICI Prudential Gilt Fund performed over the last year?,ICICI Prudential Gilt Fund
Can you provide the recent NAV for Kotak Focused Equity Fund?,Kotak Focused Equity Fund
Does Kotak Bluechip Fund offer a switch option?,Kotak Bluechip Fund
Has Kotak Bluechip Fund been outperforming the market?,Kotak Bluechip Fund
Tell me about the volatility of SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days).,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
Is it beneficial to hold SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days) long-term?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
What's the performance of HSBC Medium Duration Fund?,HSBC Medium Duration Fund
Tell me about the volatility of Aditya Birla Sun Life Pharma & Healthcare Fund.,Aditya Birla Sun Life Pharma & Healthcare Fund
What's the growth option NAV of Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
What's the asset allocation of UTI Money Market Fund?,UTI Money Market Fund
Can you provide details about the dividend option in DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
Is it beneficial to hold Union Overnight Fund long-term?,Union Overnight Fund
What are the redemption terms for Kotak Bluechip Fund?,Kotak Bluechip Fund
Is HSBC Medium Duration Fund a good investment for SIP?,HSBC Medium Duration Fund
What was the last month's return of Canara Robeco ELSS Tax Saver?,Canara Robeco ELSS Tax Saver
What's the asset allocation of ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
What are the redemption terms for Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
What's the performance of ICICI Prudential Gilt Fund?,ICICI Prudential Gilt Fund
Tell me the expense ratio of ICICI Prudential Gilt Fund.,ICICI Prudential Gilt Fund
What are the recent returns for Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
What's the asset allocation of HSBC Medium Duration Fund?,HSBC Medium Duration Fund
Is Kotak Focused Equity Fund better than other similar funds?,Kotak Focused Equity Fund
What is the NAV of Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
Explain the investment objective of Tata BSE Select Business Groups Index Fund.,Tata BSE Select Business Groups Index Fund
How has Motilal Oswal Nifty Microcap 250 Index Fund performed over the last year?,Motilal Oswal Nifty Microcap 250 Index Fund
Is Bandhan Credit Risk Fund a good investment for SIP?,Bandhan Credit Risk Fund
Can you provide details about the dividend option in Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
Is it beneficial to hold HSBC Medium Duration Fund long-term?,HSBC Medium Duration Fund
Can you provide the recent NAV for HSBC Medium Duration Fund?,HSBC Medium Duration Fund
Can you provide the recent NAV for Union Overnight Fund?,Union Overnight Fund
What's the dividend frequency for Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
What is the minimum investment required for Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
Give me the benchmark for SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days).,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
What's the risk associated with Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
What was the return of HSBC Medium Duration Fund in the past 6 months?,HSBC Medium Duration Fund
How has Union Overnight Fund performed over the last year?,Union Overnight Fund
Does Aditya Birla Sun Life Pharma & Healthcare Fund offer a switch option?,Aditya Birla Sun Life Pharma & Healthcare Fund
Does Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative offer a switch option?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Is it beneficial to hold ICICI Prudential Gilt Fund long-term?,ICICI Prudential Gilt Fund
What's the risk associated with Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Tell me about the volatility of Kotak Focused Equity Fund.,Kotak Focused Equity Fund
Can you provide details about the dividend option in ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
Explain the investment objective of Union Overnight Fund.,Union Overnight Fund
Does Union Overnight Fund offer a switch option?,Union Overnight Fund
How has Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative performed over the last year?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Explain the investment objective of SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days).,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
What's the asset allocation of Kotak Focused Equity Fund?,Kotak Focused Equity Fund
What was the return of SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days) in the past 6 months?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
Can you provide the recent NAV for Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
Can you provide the recent NAV for Kotak Focused Equity Fund?,Kotak Focused Equity Fund
What are the recent returns for Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
Should I consider investing in Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
Tell me about the portfolio holdings of Union Overnight Fund.,Union Overnight Fund
Can you provide details about the dividend option in Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
What's the Sharpe Ratio of ICICI Prudential Gilt Fund?,ICICI Prudential Gilt Fund
What is the minimum investment required for ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
Can I start an SIP with HSBC Medium Duration Fund?,HSBC Medium Duration Fund
Is Groww Nifty EV & New Age Automotive ETF FOF a good investment for SIP?,Groww Nifty EV & New Age Automotive ETF FOF
Can you provide the recent NAV for Canara Robeco ELSS Tax Saver?,Canara Robeco ELSS Tax Saver
What is the NAV of Kotak Bluechip Fund?,Kotak Bluechip Fund
Can you provide details about the dividend option in Aditya Birla Sun Life Pharma & Healthcare Fund?,Aditya Birla Sun Life Pharma & Healthcare Fund
Can you provide details about the dividend option in Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Is it beneficial to hold DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days long-term?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
What is the NAV of HSBC Medium Duration Fund?,HSBC Medium Duration Fund
Tell me about the volatility of Aditya Birla Sun Life Pharma & Healthcare Fund.,Aditya Birla Sun Life Pharma & Healthcare Fund
What are the redemption terms for Union Overnight Fund?,Union Overnight Fund
What's the performance of Union Overnight Fund?,Union Overnight Fund
What are the recent returns for Kotak Focused Equity Fund?,Kotak Focused Equity Fund
Can I start an SIP with Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
Is DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days a good investment for SIP?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
Give me the benchmark for Aditya Birla Sun Life Pharma & Healthcare Fund.,Aditya Birla Sun Life Pharma & Healthcare Fund
What's the asset allocation of Aditya Birla Sun Life Pharma & Healthcare Fund?,Aditya Birla Sun Life Pharma & Healthcare Fund
Does ICICI Prudential Transportation and Logistics Fund have any lock-in period?,ICICI Prudential Transportation and Logistics Fund
What was the return of UTI Money Market Fund in the past 6 months?,UTI Money Market Fund
What are the redemption terms for ICICI Prudential Gilt Fund?,ICICI Prudential Gilt Fund
Tell me the expense ratio of Union Overnight Fund.,Union Overnight Fund
What's the performance of Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
What are the redemption terms for Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
How risky is investing in Canara Robeco ELSS Tax Saver?,Canara Robeco ELSS Tax Saver
Does Canara Robeco ELSS Tax Saver have any lock-in period?,Canara Robeco ELSS Tax Saver
What is the NAV of Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
What is the NAV of HSBC Medium Duration Fund?,HSBC Medium Duration Fund
What's the asset allocation of Union Overnight Fund?,Union Overnight Fund
What's the performance of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
How has UTI Money Market Fund performed over the last year?,UTI Money Market Fund
